Execution;Version;Relative;ns_op;op_s;err_percent;ins_op;cyc_op;IPC;bra_op;miss_percent;total
1;Confusing;100,0%;7,01;142595336,71;0,9%;103,50;32,12;3,222;11,50;0,0%;0,01
1;Clean;97,2%;7,21;138612626,22;2,0%;103,50;32,13;3,221;11,50;0,0%;0,01
2;Confusing;100,0%;7,02;142537173,17;0,7%;103,50;32,08;3,227;11,50;0,0%;0,01
2;Clean;100,3%;6,99;143027033,01;1,0%;103,50;31,96;3,238;11,50;0,0%;0,01
3;Confusing;100,0%;7,05;141790555,47;1,7%;103,50;32,25;3,210;11,50;0,0%;0,01
3;Clean;100,3%;7,03;142231030,85;1,5%;103,50;31,95;3,239;11,50;0,0%;0,01
4;Confusing;100,0%;7,40;135181847,00;3,6%;103,50;32,22;3,212;11,50;0,0%;0,01
4;Clean;104,4%;7,08;141161148,30;2,4%;103,50;32,16;3,219;11,50;0,0%;0,01
5;Confusing;100,0%;6,97;143455954,68;0,8%;103,50;32,15;3,219;11,50;0,0%;0,01
5;Clean;95,2%;7,32;136550630,13;2,9%;103,50;31,99;3,235;11,50;0,0%;0,01
6;Confusing;100,0%;7,05;141867503,21;1,1%;103,50;32,40;3,194;11,50;0,0%;0,01
6;Clean;100,6%;7,01;142692091,93;0,9%;103,50;32,18;3,217;11,50;0,0%;0,01
7;Confusing;100,0%;7,03;142196613,36;1,3%;103,50;32,35;3,200;11,50;0,0%;0,01
7;Clean;100,1%;7,03;142287577,39;1,0%;103,50;32,12;3,223;11,50;0,0%;0,01
8;Confusing;100,0%;7,01;142700946,05;1,1%;103,50;32,16;3,218;11,50;0,0%;0,01
8;Clean;98,2%;7,14;140110833,67;4,0%;103,50;31,95;3,240;11,50;0,0%;0,01
9;Confusing;100,0%;7,01;142552269,45;0,4%;103,50;32,15;3,220;11,50;0,0%;0,01
9;Clean;100,2%;7,00;142889548,60;1,5%;103,50;32,11;3,224;11,50;0,0%;0,01
10;Confusing;100,0%;7,19;139059037,63;1,7%;103,50;32,52;3,183;11,50;0,0%;0,01
10;Clean;99,6%;7,22;138555177,91;4,2%;103,50;32,03;3,231;11,50;0,0%;0,01
11;Confusing;100,0%;6,97;143522828,69;0,8%;103,50;32,15;3,220;11,50;0,0%;0,01
11;Clean;99,6%;6,99;143006601,54;1,1%;103,50;31,97;3,237;11,50;0,0%;0,01
12;Confusing;100,0%;7,04;142000354,34;1,8%;103,50;32,18;3,216;11,50;0,0%;0,01
12;Clean;100,9%;6,98;143293560,78;1,4%;103,50;31,99;3,236;11,50;0,0%;0,01
13;Confusing;100,0%;7,08;141167177,11;0,7%;103,50;32,30;3,204;11,50;0,0%;0,01
13;Clean;102,2%;6,93;144309264,28;0,8%;103,50;31,90;3,244;11,50;0,0%;0,01
14;Confusing;100,0%;7,09;141139884,19;1,5%;103,50;32,42;3,193;11,50;0,0%;0,01
14;Clean;100,0%;7,09;141075991,43;1,3%;103,50;32,32;3,202;11,50;0,0%;0,01
15;Confusing;100,0%;7,03;142226080,85;0,2%;103,50;32,33;3,201;11,50;0,0%;0,01
15;Clean;97,9%;7,19;139173808,60;1,5%;103,50;32,26;3,208;11,50;0,0%;0,01
16;Confusing;100,0%;7,01;142694751,73;0,7%;103,50;32,21;3,213;11,50;0,0%;0,01
16;Clean;100,9%;6,94;144011555,35;0,5%;103,50;32,00;3,234;11,50;0,0%;0,01
17;Confusing;100,0%;6,99;143049292,03;1,2%;103,50;32,15;3,220;11,50;0,0%;0,01
17;Clean;99,7%;7,01;142624801,48;0,8%;103,50;31,99;3,236;11,50;0,0%;0,01
18;Confusing;100,0%;7,11;140644044,62;1,2%;103,50;32,23;3,211;11,50;0,0%;0,01
18;Clean;100,5%;7,07;141382358,72;1,4%;103,50;32,08;3,226;11,50;0,0%;0,01
19;Confusing;100,0%;7,04;141992915,55;1,1%;103,50;32,42;3,193;11,50;0,0%;0,01
19;Clean;100,1%;7,03;142196013,84;1,1%;103,50;32,20;3,215;11,50;0,0%;0,01
20;Confusing;100,0%;7,17;139517312,24;2,6%;103,50;32,73;3,162;11,50;0,0%;0,01
20;Clean;103,2%;6,95;143965836,87;1,1%;103,50;31,98;3,236;11,50;0,0%;0,01
21;Confusing;100,0%;7,09;141079259,09;1,3%;103,50;32,36;3,198;11,50;0,0%;0,01
21;Clean;99,0%;7,16;139722368,86;2,6%;103,50;32,00;3,234;11,50;0,0%;0,01
22;Confusing;100,0%;7,01;142715624,39;0,3%;103,50;32,19;3,215;11,50;0,0%;0,01
22;Clean;100,7%;6,96;143758373,78;1,0%;103,50;31,99;3,235;11,50;0,0%;0,01
23;Confusing;100,0%;7,13;140273683,90;0,9%;103,50;32,86;3,150;11,50;0,0%;0,01
23;Clean;98,0%;7,27;137512214,70;4,7%;103,50;31,96;3,239;11,50;0,0%;0,01
24;Confusing;100,0%;6,98;143301690,70;0,2%;103,50;32,15;3,219;11,50;0,0%;0,01
24;Clean;99,0%;7,05;141922424,05;1,6%;103,50;32,12;3,222;11,50;0,0%;0,01
25;Confusing;100,0%;6,98;143270689,52;1,0%;103,50;32,16;3,218;11,50;0,0%;0,01
25;Clean;97,1%;7,19;139134377,77;3,4%;103,50;31,94;3,241;11,50;0,0%;0,01
26;Confusing;100,0%;7,03;142314503,88;1,6%;103,50;32,13;3,221;11,50;0,0%;0,01
26;Clean;97,8%;7,18;139186125,07;2,4%;103,50;32,45;3,190;11,50;0,0%;0,01
27;Confusing;100,0%;7,05;141881897,02;2,0%;103,50;32,16;3,218;11,50;0,0%;0,01
27;Clean;101,4%;6,95;143815188,07;0,5%;103,50;31,99;3,235;11,50;0,0%;0,01
28;Confusing;100,0%;7,02;142420102,17;0,7%;103,50;32,19;3,216;11,50;0,0%;0,01
28;Clean;95,1%;7,38;135469879,61;4,9%;103,50;32,22;3,212;11,50;0,0%;0,01
29;Confusing;100,0%;7,08;141222993,32;1,2%;103,50;32,53;3,181;11,50;0,0%;0,01
29;Clean;100,5%;7,04;141976040,18;1,1%;103,50;32,33;3,201;11,50;0,0%;0,01
30;Confusing;100,0%;7,07;141416294,78;1,3%;103,50;32,16;3,218;11,50;0,0%;0,01
30;Clean;99,4%;7,12;140510018,77;0,8%;103,50;31,96;3,239;11,50;0,0%;0,01
