Execution;Version;Relative;ns_op;op_s;err_percent;ins_op;cyc_op;IPC;bra_op;miss_percent;total
1;Confusing;100,0%;4,01;249339397,35;0,5%;54,00;18,44;2,928;8,00;0,0%;0,01
1;Clean;104,6%;3,83;260902114,92;0,2%;54,00;17,64;3,062;8,00;0,0%;0,01
2;Confusing;100,0%;4,01;249394101,02;0,5%;54,00;18,43;2,930;8,00;0,0%;0,01
2;Clean;101,9%;3,93;254130467,91;1,2%;54,00;17,66;3,058;8,00;0,0%;0,01
3;Confusing;100,0%;4,08;244830257,07;1,9%;54,00;18,45;2,926;8,00;0,0%;0,01
3;Clean;104,6%;3,91;255997442,64;2,1%;54,00;17,69;3,053;8,00;0,0%;0,01
4;Confusing;100,0%;4,01;249223656,87;1,1%;54,00;18,46;2,925;8,00;0,0%;0,01
4;Clean;101,3%;3,96;252560187,39;3,2%;54,00;17,68;3,055;8,00;0,0%;0,01
5;Confusing;100,0%;4,01;249572911,54;1,0%;54,00;18,45;2,926;8,00;0,0%;0,01
5;Clean;104,3%;3,84;260346295,72;0,8%;54,00;17,67;3,056;8,00;0,0%;0,01
6;Confusing;100,0%;4,03;248393129,40;0,5%;54,00;18,46;2,925;8,00;0,0%;0,01
6;Clean;104,7%;3,84;260181420,94;0,6%;54,00;17,68;3,054;8,00;0,0%;0,01
7;Confusing;100,0%;4,01;249449294,67;1,0%;54,00;18,46;2,926;8,00;0,0%;0,01
7;Clean;98,9%;4,06;246599141,06;1,5%;54,00;17,71;3,048;8,00;0,0%;0,01
8;Confusing;100,0%;4,03;247831566,04;0,7%;54,00;18,53;2,914;8,00;0,0%;0,01
8;Clean;103,0%;3,92;255168693,33;1,8%;54,00;17,67;3,056;8,00;0,0%;0,01
9;Confusing;100,0%;4,08;245114924,55;0,8%;54,00;18,78;2,875;8,00;0,0%;0,01
9;Clean;103,7%;3,94;254075868,79;1,1%;54,00;18,00;3,001;8,00;0,0%;0,01
10;Confusing;100,0%;4,02;249045433,28;0,6%;54,00;18,44;2,928;8,00;0,0%;0,01
10;Clean;104,4%;3,85;260025778,22;1,3%;54,00;17,65;3,060;8,00;0,0%;0,01
11;Confusing;100,0%;4,00;249713463,74;0,9%;54,00;18,45;2,927;8,00;0,0%;0,01
11;Clean;102,1%;3,92;254875963,54;1,9%;54,00;17,78;3,037;8,00;0,0%;0,01
12;Confusing;100,0%;4,03;248356850,33;0,6%;54,00;18,45;2,928;8,00;0,0%;0,01
12;Clean;103,5%;3,89;257095128,88;1,2%;54,00;17,66;3,057;8,00;0,0%;0,01
13;Confusing;100,0%;4,01;249242037,29;0,9%;54,00;18,45;2,927;8,00;0,0%;0,01
13;Clean;100,8%;3,98;251155186,24;2,3%;54,00;17,68;3,054;8,00;0,0%;0,01
