Execution;Version;Relative;ns_op;op_s;err_percent;ins_op;cyc_op;IPC;bra_op;miss_percent;total
1;Confusing;100,0%;7,55;132367641,59;0,5%;114,00;34,44;3,310;14,00;0,0%;0,01
1;Clean;100,0%;7,56;132304104,43;1,8%;114,00;34,41;3,313;14,00;0,0%;0,01
2;Confusing;100,0%;7,47;133848558,46;1,0%;114,00;34,41;3,313;14,00;0,0%;0,01
2;Clean;96,5%;7,74;129154146,38;4,1%;114,00;34,59;3,296;14,00;0,0%;0,01
3;Confusing;100,0%;7,48;133719409,81;1,1%;114,00;34,42;3,312;14,00;0,0%;0,01
3;Clean;97,7%;7,65;130649810,88;2,3%;114,00;34,42;3,312;14,00;0,0%;0,01
4;Confusing;100,0%;7,54;132592934,39;0,6%;114,00;34,71;3,285;14,00;0,0%;0,01
4;Clean;99,6%;7,57;132050802,79;1,5%;114,00;34,40;3,314;14,00;0,0%;0,01
5;Confusing;100,0%;7,54;132685513,37;1,6%;114,00;34,78;3,278;14,00;0,0%;0,01
5;Clean;100,7%;7,48;133647004,19;1,2%;114,00;34,40;3,314;14,00;0,0%;0,01
6;Confusing;100,0%;7,63;131097867,03;1,5%;114,00;34,68;3,287;14,00;0,0%;0,01
6;Clean;99,3%;7,68;130140789,23;2,1%;114,00;34,41;3,313;14,00;0,0%;0,01
7;Confusing;100,0%;7,54;132656286,28;1,3%;114,00;34,41;3,313;14,00;0,0%;0,01
7;Clean;97,6%;7,72;129494214,86;1,7%;114,00;34,79;3,276;14,00;0,0%;0,01
8;Confusing;100,0%;7,48;133658553,86;0,4%;114,00;34,45;3,310;14,00;0,0%;0,01
8;Clean;98,3%;7,61;131412305,52;1,8%;114,00;34,46;3,308;14,00;0,0%;0,01
9;Confusing;100,0%;7,54;132565330,09;0,3%;114,00;34,71;3,285;14,00;0,0%;0,01
9;Clean;99,1%;7,61;131322493,56;1,0%;114,00;34,78;3,278;14,00;0,0%;0,01
10;Confusing;100,0%;7,58;131942838,10;0,5%;114,00;34,72;3,284;14,00;0,0%;0,01
10;Clean;99,7%;7,60;131512417,13;0,7%;114,00;34,71;3,284;14,00;0,0%;0,01
11;Confusing;100,0%;7,51;133183122,75;1,2%;114,00;34,56;3,299;14,00;0,0%;0,01
11;Clean;98,7%;7,61;131464902,78;2,2%;114,00;34,41;3,313;14,00;0,0%;0,01
12;Confusing;100,0%;7,45;134205719,79;0,8%;114,00;34,39;3,315;14,00;0,0%;0,01
12;Clean;98,1%;7,60;131636495,96;0,8%;114,00;34,72;3,284;14,00;0,0%;0,01
13;Confusing;100,0%;7,64;130871257,43;1,2%;114,00;34,71;3,284;14,00;0,0%;0,01
13;Clean;99,7%;7,67;130413597,00;1,2%;114,00;34,93;3,264;14,00;0,0%;0,01
14;Confusing;100,0%;7,80;128279311,06;2,8%;114,00;34,77;3,279;14,00;0,0%;0,01
14;Clean;102,7%;7,59;131702487,92;1,1%;114,00;34,75;3,280;14,00;0,0%;0,01
15;Confusing;100,0%;7,48;133662843,71;1,2%;114,00;34,42;3,312;14,00;0,0%;0,01
15;Clean;97,1%;7,71;129771024,24;3,9%;114,00;34,49;3,305;14,00;0,0%;0,01
16;Confusing;100,0%;7,53;132785352,49;0,8%;114,00;34,46;3,308;14,00;0,0%;0,01
16;Clean;98,0%;7,68;130124147,18;1,5%;114,00;34,41;3,313;14,00;0,0%;0,01
17;Confusing;100,0%;7,63;131060076,33;1,5%;114,00;34,64;3,291;14,00;0,0%;0,01
17;Clean;101,0%;7,55;132382487,59;2,2%;114,00;34,39;3,315;14,00;0,0%;0,01
18;Confusing;100,0%;7,49;133594067,41;1,2%;114,00;34,42;3,312;14,00;0,0%;0,01
18;Clean;100,1%;7,48;133752891,08;2,1%;114,00;34,42;3,312;14,00;0,0%;0,01
19;Confusing;100,0%;7,49;133484225,92;1,0%;114,00;34,45;3,309;14,00;0,0%;0,01
19;Clean;98,0%;7,64;130841077,55;1,4%;114,00;34,67;3,289;14,00;0,0%;0,01
20;Confusing;100,0%;7,47;133958440,83;1,0%;114,00;34,39;3,315;14,00;0,0%;0,01
20;Clean;98,8%;7,56;132303286,58;1,6%;114,00;34,45;3,309;14,00;0,0%;0,01
21;Confusing;100,0%;7,54;132692303,89;0,2%;114,00;34,71;3,285;14,00;0,0%;0,01
21;Clean;99,5%;7,58;131966540,06;0,7%;114,00;34,69;3,286;14,00;0,0%;0,01
