Execution;Version;Relative;ns_op;op_s;err_percent;ins_op;cyc_op;IPC;bra_op;miss_percent;total
1;Confusing;100,0%;4,88;205014894,33;3,2%;64,00;21,71;2,948;10,00;0,0%;0,01
1;Clean;101,1%;4,82;207369000,25;0,9%;64,00;22,01;2,907;10,00;0,0%;0,01
2;Confusing;100,0%;4,62;216217705,64;0,0%;64,00;21,51;2,975;10,00;0,0%;0,01
2;Clean;96,0%;4,82;207563010,96;1,8%;64,00;22,02;2,907;10,00;0,0%;0,01
3;Confusing;100,0%;4,71;212400496,55;1,4%;64,00;21,51;2,975;10,00;0,0%;0,01
3;Clean;97,9%;4,81;207896253,50;0,7%;64,00;22,01;2,908;10,00;0,0%;0,01
4;Confusing;100,0%;4,78;209229254,57;2,5%;64,00;21,87;2,927;10,00;0,0%;0,01
4;Clean;97,0%;4,93;202939988,22;3,0%;64,00;22,01;2,907;10,00;0,0%;0,01
5;Confusing;100,0%;4,70;212951423,22;1,1%;64,00;21,63;2,960;10,00;0,0%;0,01
5;Clean;98,1%;4,79;208972547,23;0,3%;64,00;22,01;2,907;10,00;0,0%;0,01
6;Confusing;100,0%;4,82;207470002,43;1,2%;64,00;21,86;2,927;10,00;0,0%;0,01
6;Clean;98,4%;4,90;204097501,84;1,5%;64,00;22,16;2,888;10,00;0,0%;0,01
7;Confusing;100,0%;4,80;208475902,19;3,2%;64,00;21,65;2,957;10,00;0,0%;0,01
7;Clean;100,0%;4,80;208462168,57;0,8%;64,00;22,11;2,894;10,00;0,0%;0,01
8;Confusing;100,0%;4,67;214136768,13;1,0%;64,00;21,51;2,975;10,00;0,0%;0,01
8;Clean;97,7%;4,78;209108165,19;0,5%;64,00;22,01;2,908;10,00;0,0%;0,01
9;Confusing;100,0%;4,67;214126268,58;0,2%;64,00;21,51;2,975;10,00;0,0%;0,01
9;Clean;95,5%;4,89;204490572,25;0,9%;64,00;22,02;2,907;10,00;0,0%;0,01
10;Confusing;100,0%;4,67;214060517,83;1,0%;64,00;21,51;2,975;10,00;0,0%;0,01
10;Clean;94,8%;4,93;202920640,61;2,5%;64,00;22,13;2,892;10,00;0,0%;0,01
11;Confusing;100,0%;4,68;213523417,41;0,8%;64,00;21,51;2,975;10,00;0,0%;0,01
11;Clean;97,9%;4,78;209070992,62;0,3%;64,00;22,01;2,907;10,00;0,0%;0,01
12;Confusing;100,0%;4,68;213877369,63;0,6%;64,00;21,51;2,975;10,00;0,0%;0,01
12;Clean;96,0%;4,87;205378942,09;1,7%;64,00;22,17;2,887;10,00;0,0%;0,01
13;Confusing;100,0%;4,77;209528205,74;3,2%;64,00;21,53;2,973;10,00;0,0%;0,01
13;Clean;98,7%;4,84;206786763,36;1,1%;64,00;22,02;2,907;10,00;0,0%;0,01
14;Confusing;100,0%;4,71;212280872,60;1,8%;64,00;21,52;2,974;10,00;0,0%;0,01
14;Clean;98,5%;4,78;209093768,77;0,5%;64,00;22,01;2,908;10,00;0,0%;0,01
15;Confusing;100,0%;4,73;211509834,10;1,4%;64,00;21,52;2,975;10,00;0,0%;0,01
15;Clean;98,8%;4,79;208979691,54;0,2%;64,00;22,01;2,907;10,00;0,0%;0,01
16;Confusing;100,0%;5,32;187942828,88;2,4%;64,00;23,79;2,690;10,00;0,0%;0,01
16;Clean;111,3%;4,78;209222178,48;1,0%;64,00;22,01;2,907;10,00;0,0%;0,01
17;Confusing;100,0%;5,10;196208863,14;0,7%;64,00;23,52;2,721;10,00;0,0%;0,01
17;Clean;96,1%;5,30;188636343,96;0,8%;64,00;24,25;2,639;10,00;0,0%;0,01
18;Confusing;100,0%;4,67;214049352,04;1,0%;64,00;21,51;2,975;10,00;0,0%;0,01
18;Clean;94,8%;4,93;202840731,01;1,4%;64,00;22,02;2,907;10,00;0,0%;0,01
19;Confusing;100,0%;4,67;214119241,22;0,9%;64,00;21,53;2,972;10,00;0,0%;0,01
19;Clean;95,3%;4,90;204141613,61;1,1%;64,00;22,04;2,904;10,00;0,0%;0,01
20;Confusing;100,0%;4,67;214167550,86;1,0%;64,00;21,51;2,975;10,00;0,0%;0,01
20;Clean;97,7%;4,78;209227222,92;1,0%;64,00;22,01;2,907;10,00;0,0%;0,01
21;Confusing;100,0%;4,68;213875236,10;0,9%;64,00;21,54;2,972;10,00;0,0%;0,01
21;Clean;96,7%;4,83;206913264,93;1,1%;64,00;22,04;2,904;10,00;0,0%;0,01
22;Confusing;100,0%;4,74;210809458,59;1,9%;64,00;21,69;2,951;10,00;0,0%;0,01
22;Clean;97,8%;4,85;206083077,60;1,4%;64,00;22,02;2,907;10,00;0,0%;0,01
23;Confusing;100,0%;4,72;212076482,68;2,0%;64,00;21,53;2,973;10,00;0,0%;0,01
23;Clean;98,9%;4,77;209688335,66;0,7%;64,00;22,01;2,907;10,00;0,0%;0,01
24;Confusing;100,0%;4,67;214140786,82;1,0%;64,00;21,52;2,974;10,00;0,0%;0,01
24;Clean;95,9%;4,87;205424861,93;1,9%;64,00;22,02;2,907;10,00;0,0%;0,01
25;Confusing;100,0%;4,96;201784982,07;2,7%;64,00;21,94;2,918;10,00;0,0%;0,01
25;Clean;103,2%;4,80;208327869,26;0,5%;64,00;22,01;2,907;10,00;0,0%;0,01
26;Confusing;100,0%;4,72;211851227,22;1,0%;64,00;21,72;2,946;10,00;0,0%;0,01
26;Clean;94,7%;4,98;200681551,83;3,4%;64,00;22,02;2,907;10,00;0,0%;0,01
27;Confusing;100,0%;4,79;208958473,95;2,1%;64,00;21,71;2,947;10,00;0,0%;0,01
27;Clean;99,3%;4,82;207525910,63;0,5%;64,00;22,15;2,889;10,00;0,0%;0,01
28;Confusing;100,0%;4,67;214115544,45;1,0%;64,00;21,51;2,975;10,00;0,0%;0,01
28;Clean;97,6%;4,79;208946765,73;0,4%;64,00;22,01;2,907;10,00;0,0%;0,01
29;Confusing;100,0%;4,67;213928964,88;1,1%;64,00;21,51;2,975;10,00;0,0%;0,01
29;Clean;96,0%;4,87;205430974,69;0,9%;64,00;22,02;2,907;10,00;0,0%;0,01
30;Confusing;100,0%;4,68;213862550,72;0,6%;64,00;21,51;2,975;10,00;0,0%;0,01
30;Clean;95,6%;4,89;204496770,00;1,3%;64,00;22,02;2,906;10,00;0,0%;0,01
