Execution;Version;Relative;ns_op;op_s;err_percent;ins_op;cyc_op;IPC;bra_op;miss_percent;total
1;Confusing;100,0%;3,78;264561006,15;1,8%;52,00;17,41;2,987;6,00;0,0%;0,01
1;Clean;94,5%;4,00;249904829,93;1,6%;51,00;18,34;2,780;6,00;0,0%;0,01
2;Confusing;100,0%;4,24;236110694,25;2,0%;52,00;19,35;2,688;6,00;0,0%;0,01
2;Clean;98,0%;4,32;231450872,11;0,6%;51,00;19,89;2,564;6,00;0,0%;0,01
3;Confusing;100,0%;3,78;264793534,21;1,6%;52,00;17,22;3,020;6,00;0,0%;0,01
3;Clean;93,8%;4,03;248414720,33;1,1%;51,00;18,39;2,774;6,00;0,0%;0,01
4;Confusing;100,0%;3,78;264732471,56;1,1%;52,00;17,26;3,012;6,00;0,0%;0,01
4;Clean;93,1%;4,06;246539764,31;2,0%;51,00;18,35;2,779;6,00;0,0%;0,01
5;Confusing;100,0%;3,84;260669546,52;1,0%;52,00;17,66;2,945;6,00;0,0%;0,01
5;Clean;95,8%;4,00;249753987,90;0,8%;51,00;18,33;2,783;6,00;0,0%;0,01
6;Confusing;100,0%;3,84;260580620,64;1,0%;52,00;17,68;2,941;6,00;0,0%;0,01
6;Clean;95,7%;4,01;249287123,94;1,5%;51,00;18,33;2,783;6,00;0,0%;0,01
7;Confusing;100,0%;3,86;258950255,04;0,7%;52,00;17,76;2,928;6,00;0,0%;0,01
7;Clean;97,4%;3,96;252338400,63;1,1%;51,00;18,23;2,798;6,00;0,0%;0,01
8;Confusing;100,0%;3,82;261881141,22;0,8%;52,00;17,62;2,952;6,00;0,0%;0,01
8;Clean;96,2%;3,97;251937923,88;2,2%;51,00;18,31;2,785;6,00;0,0%;0,01
9;Confusing;100,0%;3,82;261577787,80;0,8%;52,00;17,67;2,943;6,00;0,0%;0,01
9;Clean;96,2%;3,97;251643419,18;1,3%;51,00;18,23;2,798;6,00;0,0%;0,01
10;Confusing;100,0%;3,90;256464129,85;1,6%;52,00;17,94;2,898;6,00;0,0%;0,01
10;Clean;96,2%;4,05;246725000,26;1,8%;51,00;18,66;2,733;6,00;0,0%;0,01
11;Confusing;100,0%;3,83;261056725,32;1,1%;52,00;17,62;2,952;6,00;0,0%;0,01
11;Clean;95,4%;4,01;249071545,68;0,8%;51,00;18,24;2,795;6,00;0,0%;0,01
12;Confusing;100,0%;3,86;258875875,72;1,9%;52,00;17,61;2,952;6,00;0,0%;0,01
12;Clean;96,7%;3,99;250399006,76;1,5%;51,00;18,31;2,786;6,00;0,0%;0,01
13;Confusing;100,0%;3,85;260014162,65;1,4%;52,00;17,79;2,923;6,00;0,0%;0,01
13;Clean;97,1%;3,96;252571458,25;1,9%;51,00;18,23;2,798;6,00;0,0%;0,01
14;Confusing;100,0%;3,83;260847332,98;3,7%;52,00;17,61;2,953;6,00;0,0%;0,01
14;Clean;96,6%;3,97;251860577,61;1,3%;51,00;18,31;2,786;6,00;0,0%;0,01
